问题类型,category,section,客户常见问法,标准回复模板,备注
预订渠道与会员权益,会员权益反馈,标准回答,在联盟成员品牌的渠道预订，是否享受会员待遇？,[姓名]感谢您的咨询。通过GHA探索之旅旗下任一会员品牌的官方渠道预订，您可享受会员权益。请在预订时使用与您的GHA探索之旅账户关联的电子邮件地址，以确保权益顺利应用。,
等级升级规则,会员权益反馈,标准回答,我的等级升级要求是什么？为什么住满了两个品牌还是没有升级？,[姓名]要获得GHA探索之旅的会员等级升级，您需在参与品牌中满足特定的住宿次数、夜晚数和合格房价等标准，通常基于12个月内的会员活动。若您已满足要求但尚未收到升级通知，可能是处理延迟或账户信息需核实。建议检查住宿记录，确保符合升级标准。如一切正常，请邮件联系客服团队（contact@ghadiscovery.com）。,
D$到账时间（48小时）,会员权益反馈,标准回答,我的奖励金为何没有到账？,[姓名]感谢您的询问。完成住宿后，DISCOVERY 奖励金（D$）通常在约48小时内计入您的账户（如适用）。届时，您可在ghadiscovery.com或GHA探索之旅小程序/官网的会员仪表板上查看收益。,退房后48小时内到账，超时可发邮件申请补录
登录问题,技术bug,标准回答,为什么登不上你们的app/网页？,[姓名]若您在登录账户时遇到困难，请检查：①邮箱地址是否与注册时一致；②密码是否正确，如需重置请点击：https://www.ghadiscovery.com/member/forgot_password。如问题仍未解决，请邮件联系GHA探索之旅客服团队，我们将协助您恢复账户访问。,
酒店暂不支持App预订,技术bug,标准回答,为什么某家酒店不能在手机GHA App下单？,您好，感谢您的留言！目前该酒店的预订需通过该品牌的官方网站进行，尚未在GHA探索之旅 App或官网开放预订功能。感谢您的理解，期待不久后欢迎您的到来！,需根据具体酒店名称填写
奖励金计算方式投诉,会员权益反馈,标准回答,感觉GHA对待会员越来越不厚道，奖励金计算方式改了,您好，感谢您的反馈与忠诚支持。Titanium会员的7% D$奖励是基于净符合支出计算的，即扣除折扣、促销或使用部分D$后的实际支付金额，这确保了所有合资格住宿的奖励公平一致。通过官方渠道直接预订仍然可解锁GHA探索之旅独家权益，包括奖励金、免费客房升级、提前入住、延迟退房等。我们非常重视您的反馈，将不断优化会员计划。,
儿童入住政策,会员权益反馈,标准回答,钛金卡在马代酒店，小孩免费是几岁？免费1个还是2个？,请注意，儿童免费入住并不是GHA Titanium等级的特定福利。儿童入住的政策（包括年龄限制和允许免费入住的儿童数量）由各个酒店自行决定。若您想了解某家酒店的具体政策，建议直接联系酒店确认相关细则。,
房型升级,会员权益反馈,标准回答,GHA会员升级房型是入住自动升，还是需要提前发邮件给酒店？,您好，GHA探索之旅的客房升级权益需视房态而定，通常由酒店在您办理入住时提供。不过，您也可以在入住前主动联系酒店询问升级可能性或提出特殊要求，这有助于酒店更好地为您到店做准备。,
扣款后使用D$,会员权益反馈,标准回答,我想用奖励金的，但是预定的时候用信用卡已经扣款了怎么办？,由于您的预订已通过信用卡付款，如您希望使用D$抵扣房费，请直接通过电子邮件联系酒店，提供您的预订详情，他们会协助将D$应用于您的订单。,
预付订单无法使用D$,会员权益反馈,标准回答,预付订单为什么用不了D$，你们条款里面并未有说明！,目前我们正在测试使用D$付款功能，因此暂时仅在部分酒店可用，且仅支持通过GHA探索之旅 App或官网预订时使用。感谢您的理解，我们也会继续推进该功能的覆盖范围，对由此带来的不便深表歉意。,
行政礼遇,会员权益反馈,标准回答,现在钛金会员没有行政礼遇了是吧？,感谢您的留言。行政酒廊或行政俱乐部的使用权限并不是GHA探索之旅 Titanium等级的保障福利，是否提供由各家酒店自行决定。我们建议您在入住前直接联系酒店确认是否提供此项待遇。,
共享钛金权益,会员权益反馈,标准回答,共享钛金会员享受同样权益吗？,感谢您的留言。如您获得Titanium等级，每年可选择与一位指定宾客分享一次该等级的会员待遇。被指定的宾客必须是GHA探索之旅的会员，并可在共享等级的有效期内享受与您同等级的Titanium礼遇。,
为他人预订,客服,标准回答,我用我的账号为朋友订酒店，可以吗？,作为GHA探索之旅会员，您可以为朋友预订房间，前提是您也参与该次入住。但若您本人未入住，您的会员权益（如赚取或使用DISCOVERY奖励金D$）将无法转让，也无法适用于他人入住的订单。,
等级名称澄清,会员权益反馈,标准回答,世界之极怎么匹配？,感谢您的留言。请注意，GHA探索之旅会员计划设有四个等级：Silver、Gold、Platinum和Titanium。我们计划中并不存在其他等级名称。若您对当前等级状态或如何晋升有任何疑问，欢迎通过contact@ghadiscovery.com联系我们的客服团队。,
补登房晚,技术bug,标准回答,怎么补登房晚？入住后D$/夜晚数没到账,如果您认为夜晚数量、消费金额、品牌入住次数或DISCOVERY奖励金（D$）未正确计入账户，可通过联系GHA探索之旅客服（contact@ghadiscovery.com）提交补登申请。请在邮件中附上：您的会员编号、您的姓名、酒店全称与入住日期、酒店账单或消费凭证副本（需显示您的姓名）。,
D$充值未到账,技术bug,标准回答,显示扣款成功，但D$充值没到账怎么办？,感谢您的留言。如果您没有收到DISCOVERY奖励金（D$），我们建议您先检查该预订是否为符合条件的价格类型，因为部分房价类型不符合D$奖励资格。如您的预订符合条件但仍未获得D$，请将入住详情发送至contact@ghadiscovery.com，客服团队将协助您解决问题。,
D$使用方法详解,会员权益反馈,标准回答,D$的支付用法是什么？可以用在哪些消费？,感谢您的留言。在入住期间，您可以在退房时选择使用D$金额抵扣账单，每次交易最少可使用D$10。D$可用于房费、客房升级、延迟退房、餐饮、SPA护理、高尔夫费用、会员体验和其他参与酒店的合资格费用。有关可用项目与参与酒店的完整详情，请参阅GHA探索之旅会员条款与条件。,
酒店无回复投诉,客服,标准回答,为什么联系某酒店邮箱，发了很多封信，就是不读信、不回复？,谢谢你的反馈。请注意，GHA探索之旅并不直接管理各家酒店的运营或宾客沟通，每家酒店自行负责客户服务。很遗憾听到您遇到沟通不畅的问题。如需协助，欢迎随时联系GHA探索之旅客服团队（contact@ghadiscovery.com）。,
D$全额支付,会员权益反馈,标准回答,我想确认是否可以使用D$全额支付住宿费用？,感谢您的留言与支持。您可在通过GHA探索之旅 App或官网预订时使用D$支付。只需在预订流程中选择使用D$抵扣即可完成操作。,
项目介绍,需求,标准回答,GHA探索之旅是什么？会员权益有哪些？,你好[Name]，感谢您咨询我们的忠诚计划！GHA探索之旅是全球最大的独立酒店品牌忠诚计划，为会员提供独特的认可、权益和奖励，涵盖全球100个国家超过950家酒店。从第一天起，所有会员都能在符合条件的消费中赚取DISCOVERY奖励金(D$)，并享有三种灵活路径以加速晋升更高会员等级。您可以在官网（https://zh.ghadiscovery.com/our-programme）查看每个等级的完整权益说明，并免费注册。,
品牌是否参与,需求,标准回答,某品牌或酒店是否参与GHA探索之旅计划？,你好[Name]，感谢您联系GHA探索之旅团队。我们计划中所有参与的品牌和酒店的完整列表可以在以下网址找到：https://zh.ghadiscovery.com/Our-Brands。如果您需要进一步的帮助，欢迎随时与我们联系。,
品牌退出通知,需求,标准回答,某品牌退出GHA联盟，会员权益还有吗？,你好[Name]，感谢您联系我们。请注意，[品牌名称]已不再参与GHA探索之旅计划。但请放心，您在该日期之前预订的住宿，会员的认可、权益和奖励将依然有效。我们希望您能继续在全球超过950家酒店享受独家的会员福利和奖励。,填写具体品牌名称和退出日期
正面反馈回复,客服,标准回答,用户对酒店/员工给予正面评价,你好[Name]，感谢您抽空给我们留言。很高兴得知您在[品牌名称]收到了[员工姓名]提供的卓越服务。我将转达您的赞美，以确保[员工姓名]获得应有的认可。再次感谢您的留言。,填写具体品牌和员工姓名
负面反馈回复,客服,标准回答,用户对服务/体验给予负面评价,你好[Name]，感谢您联系我们。对于给您带来的不便，我们深表歉意。我们已将您的反馈转交给相关团队，确保此类情况不再发生。如有其他问题，欢迎随时与客服团队联系（contact@ghadiscovery.com）。,
自动回复,客服,标准回答,用户发来消息，需要自动回复,你好！感谢您联系我们。我们已收到您的留言，将在工作日内24至48小时内回复您。在此期间，欢迎访问我们的网站了解更多信息：https://www.zh.ghadiscovery.com。如有紧急问题，请随时联系客户服务团队：contact@ghadiscovery.com。,可设置为微信/小红书自动回复
账号无法访问,技术bug,标准回答,我无法访问我的账户/在网站上预订的房间？,你好[Name]，感谢您联系我们。对于您所遇到的不便，我们深感抱歉。如需进一步协助，请通过contact@ghadiscovery.com与我们的客服团队联系。谢谢！,
净合格消费规则,会员权益反馈,标准回答,什么样的消费才符合净合格消费标准？,你好[Name]，净合格消费包括以下所有交易：房间和附加项目、合格餐饮场所的食品和饮料、合格餐饮场所的其他非房间消费。请访问我们的网站了解更多条款和条件：https://zh.ghadiscovery.com/terms-conditions。,
D$余额查询,功能,标准回答,如何查看我的账户状态或DISCOVERY奖励金（D$）余额？,你好[Name]，请登录您的账户，访问 https://ghadiscovery.cn/ 或在GHA探索之旅小程序/官网上查看您的账户状态或D$余额。如需进一步帮助，请随时通过contact@ghadiscovery.com与我们联系。,
取消订阅邮件,客服,标准回答,如何取消订阅你们的邮件列表？,你好[Name]，您可以通过点击我们邮件底部的取消订阅按钮来取消订阅。请注意，取消订阅可能需要最多72小时才能生效，期间您仍将收到与您的账户相关的邮件。如需进一步帮助，请随时联系我们。,
注销账户,客服,标准回答,如何删除/注销我的账户？,你好[Name]，我们很遗憾您决定取消GHA探索之旅会员资格。此操作将使您的账户不再处于激活状态，您将不再收到任何会员相关的邮件。GHA探索之旅计划是免费的，您可以随时重新加入。为了确保您的账户删除请求得到处理，请在我们的网站上创建一个工单。,
